Gene_id,SPORO_1,SPORO_2,SPORO_3,WALL_1,WALL_2,WALL_3
cgd3_2180-RA-p1,0.0,112600.0,0.0,0.0,0.0,139790.0
cgd3_2190-RA-p1,207620.0,16042000.0,178780.0,0.0,0.0,370000.0
cgd3_2200-RA-p1,2126400.0,166730000.0,10631000.0,6000800.0,5908300.0,3164500.0
cgd3_2220-RA-p1,0.0,15062000.0,2169400.0,0.0,0.0,0.0
cgd3_2250-RA-p1,9134300.0,389740000.0,44927000.0,264740000.0,147420000.0,77180000.0
cgd3_2260-RA-p1,0.0,40086000.0,1948800.0,37489000.0,0.0,0.0
cgd3_2270-RA-p1,0.0,3254500.0,0.0,0.0,0.0,409000.0
cgd3_2320-RA-p1,1736900.0,17064000.0,60176.0,2213100.0,14537000.0,16233000.0
cgd3_2330-RA-p1,0.0,51584.0,4996400.0,0.0,0.0,2127300.0
cgd3_2360-RA-p1,906870.0,16910000.0,149430.0,123480.0,162880.0,2875600.0
cgd3_2390-RA-p1,11142000.0,123630000.0,8400000.0,14978000.0,41070000.0,17600000.0
cgd3_2410-RA-p1,87184.0,15551000.0,137750.0,0.0,54679.0,2863200.0
cgd3_2440-RA-p1,53613000.0,1141600000.0,114180000.0,282060000.0,589160000.0,183140000.0
cgd3_2470-RA-p1,0.0,30265000.0,1778500.0,592280.0,265490.0,1875300.0
cgd3_2480-RA-p1,0.0,483370.0,0.0,0.0,0.0,0.0
cgd3_250-RA-p1,29902.0,3431000.0,0.0,0.0,0.0,309040.0
cgd3_2530-RA-p1,570950.0,107640000.0,13063000.0,8629000.0,1772900.0,5668600.0
cgd3_2620-RA-p1,118640.0,9465400.0,33944.0,56029.0,0.0,1529800.0
cgd3_2630-RA-p1,0.0,161660.0,0.0,0.0,0.0,0.0
cgd3_2650-RA-p1,0.0,100680.0,0.0,0.0,0.0,44835.0
cgd3_2660-RA-p1,0.0,2363800.0,0.0,0.0,0.0,0.0
cgd3_2680-RA-p1,2559800.0,53462000.0,3370000.0,11376000.0,8940600.0,12036000.0
cgd3_2690-RA-p1,1230800.0,65133000.0,1075500.0,1219700.0,5032000.0,5614600.0
cgd3_2740-RA-p1,221320.0,8049700.0,350100.0,287100.0,0.0,2035100.0
cgd3_280-RA-p1,137200.0,8997000.0,0.0,0.0,0.0,415670.0
cgd3_2880-RA-p1,0.0,1036700.0,177470.0,100130.0,0.0,0.0
cgd3_2890-RA-p1,54892.0,977590.0,0.0,0.0,0.0,304190.0
cgd3_300-RA-p1,8740800.0,254600000.0,15315000.0,15504000.0,28903000.0,76404000.0
cgd3_3040-RA-p1,15698000.0,169230000.0,5834900.0,10101000.0,19529000.0,33527000.0
cgd3_3060-RA-p1,243000.0,11985000.0,0.0,13736.0,0.0,2538300.0
cgd3_3080-RA-p1,0.0,658670.0,0.0,0.0,0.0,283850.0
cgd3_3100-RA-p1,0.0,2908200.0,46614.0,0.0,0.0,559400.0
cgd3_3120-RA-p1,64511.0,9703700.0,118660.0,325210.0,0.0,1452800.0
cgd3_3140-RA-p1,0.0,647040.0,0.0,0.0,137160.0,0.0
cgd3_3150-RA-p1,1518200.0,67612000.0,3290100.0,10820000.0,1110500.0,2895500.0
cgd3_3160-RA-p1,356220.0,18963000.0,2795600.0,2540800.0,1469300.0,7930400.0
cgd3_3170-RA-p1,0.0,3489600.0,54691.0,34390.0,0.0,460980.0
cgd3_3190-RA-p1,0.0,2416600.0,0.0,0.0,0.0,0.0
cgd3_3200-RA-p1,40441000.0,516440000.0,31528000.0,39690000.0,40552000.0,95616000.0
cgd3_320-RA-p1,670410.0,110300000.0,2424200.0,1607300.0,4548600.0,1988800.0
cgd3_3210-RA-p1,409430.0,5704600.0,94281.0,100970.0,145630.0,121010.0
cgd3_330-RA-p1,6751300.0,440590000.0,28241000.0,34331000.0,40366000.0,90825000.0
cgd3_3310-RA-p1,0.0,1273100.0,0.0,0.0,0.0,0.0
cgd3_3320-RA-p1,2434300.0,51309000.0,1108800.0,1336500.0,464370.0,5939000.0
cgd3_3330-RA-p1,0.0,181690.0,0.0,0.0,0.0,83254.0
cgd3_3370-RA-p1,520440000.0,2779000000.0,80285000.0,151140000.0,747930000.0,361470000.0
cgd3_3410-RA-p1,365500.0,10916000.0,28003.0,59693.0,154720.0,1556600.0
cgd3_3430-RA-p1,13030000.0,318230000.0,8771000.0,102610000.0,1056600000.0,142310000.0
cgd3_3440-RA-p1,1094200.0,49561000.0,1637500.0,970700.0,2230000.0,13176000.0
cgd3_3460-RA-p1,0.0,0.0,0.0,0.0,0.0,372530.0
cgd3_3470-RA-p1,372240.0,43376000.0,1354600.0,395240.0,0.0,3208600.0
cgd3_3480-RA-p1,6565.8,140250.0,0.0,0.0,0.0,11988.0
cgd3_350-RA-p1,46098.0,1868900.0,117070.0,0.0,0.0,0.0
cgd3_3510-RA-p1,2127000.0,122010000.0,13397000.0,31653000.0,15425000.0,20410000.0
cgd3_3570-RA-p1,0.0,337330.0,0.0,0.0,0.0,0.0
cgd3_3580-RA-p1,3619500.0,57602000.0,2363100.0,3267600.0,4769200.0,16219000.0
cgd3_3600-RA-p1,24016.0,1409000.0,0.0,0.0,0.0,197030.0
cgd3_3610-RA-p1,2076500.0,163010000.0,6317500.0,14964000.0,7998100.0,21705000.0
cgd3_3640-RA-p1,28293.0,2164700.0,0.0,0.0,0.0,0.0
cgd3_3660-RA-p1,0.0,5977600.0,795720.0,1858900.0,948440.0,0.0
cgd3_3670-RA-p1,0.0,6535900.0,0.0,1075900.0,0.0,0.0
cgd3_3680-RA-p1,0.0,1504000.0,61773.0,0.0,0.0,0.0
cgd3_3700-RA-p1,0.0,30643.0,0.0,1024100.0,13175000.0,737420.0
cgd3_3710-RA-p1,70278.0,8428900.0,37612.0,0.0,0.0,105470.0
cgd3_3740-RA-p1,464560.0,10284000.0,47710.0,474410.0,9588800.0,5365600.0
cgd3_3750-RA-p1,46818.0,44876000.0,6416200.0,2934200.0,39396000.0,675790.0
cgd3_3770-RA-p1,178570000.0,3019400000.0,146480000.0,171500000.0,287020000.0,480250000.0
cgd3_3790-RA-p1,50613000.0,597380000.0,28877000.0,169580000.0,90718000.0,188760000.0
cgd3_380-RA-p1,37323.0,2688900.0,32604.0,58289.0,0.0,3880500.0
cgd3_3820-RA-p1,0.0,744840.0,0.0,0.0,0.0,186990.0
cgd3_3830-RA-p1,4775700.0,70331000.0,2236000.0,3693200.0,10419000.0,10027000.0
cgd3_3840-RA-p1,9023600.0,132220000.0,2750000.0,3785900.0,5558500.0,41578000.0
cgd3_3850-RA-p1,2352200.0,20596000.0,298710.0,1020600.0,247010.0,3058600.0
cgd3_3880-RA-p1,53121.0,1994000.0,0.0,0.0,0.0,17819.0
cgd3_3890-RA-p1,86474000.0,920450000.0,95751000.0,252260000.0,459680000.0,167910000.0
cgd3_3900-RA-p1,0.0,4560900.0,0.0,223070.0,82205.0,457920.0
